date,price,district_id,lot1_surface,lot2_surface,lot3_surface,lot4_surface,lot5_surface,lots,type,surface,rooms,extra,extra_special,land_surface
2017-07-04,243350.0,69009,70.84,0.0,0.0,0.0,0.0,1,apartment,70.0,3,none,no_special,0.0
2017-07-07,277000.0,69004,0.0,62.0,0.0,0.0,0.0,2,apartment,59.0,2,none,no_special,0.0
2017-07-04,782300.0,69002,0.0,0.0,0.0,0.0,0.0,1,apartment,67.0,2,none,no_special,0.0
2017-07-04,782300.0,69002,0.0,0.0,0.0,0.0,0.0,3,apartment,245.0,6,none,no_special,0.0
2017-07-07,240000.0,69009,36.65,0.0,0.0,0.0,0.0,3,apartment,35.0,1,none,no_special,0.0
2017-07-07,240000.0,69009,0.0,0.0,0.0,0.0,0.0,3,apartment,49.0,1,none,no_special,0.0
2017-07-03,128600.0,69005,85.7,0.0,0.0,0.0,0.0,2,apartment,86.0,4,none,no_special,0.0
2017-07-04,292350.0,69004,0.0,65.46,0.0,0.0,0.0,2,apartment,72.0,4,none,no_special,0.0
2017-07-03,290000.0,69002,74.15,0.0,0.0,0.0,0.0,2,apartment,50.0,2,none,no_special,0.0
2017-07-05,120500.0,69001,0.0,0.0,0.0,0.0,0.0,1,apartment,47.0,2,none,no_special,0.0
2017-07-07,515000.0,69004,115.11,0.0,0.0,0.0,0.0,2,apartment,116.0,4,none,no_special,0.0
2017-07-07,220000.0,69009,0.0,0.0,0.0,0.0,0.0,0,apartment,60.0,3,ground,no_special,186.0
2017-07-04,149089.0,69005,65.04,0.0,0.0,0.0,0.0,2,apartment,69.0,4,none,no_special,0.0
2017-07-03,236750.0,69009,0.0,0.0,0.0,0.0,0.0,2,apartment,73.0,3,none,no_special,0.0
2017-07-07,103000.0,69002,18.19,0.0,0.0,0.0,0.0,1,apartment,19.0,1,none,no_special,0.0
2017-07-05,228000.0,69004,66.53,0.0,0.0,0.0,0.0,1,apartment,70.0,4,none,no_special,0.0
2017-07-12,151000.0,69009,72.16,0.0,0.0,0.0,0.0,2,apartment,72.0,4,none,no_special,0.0
2017-07-03,198195.0,69005,0.0,53.41,0.0,0.0,0.0,3,apartment,64.0,2,none,no_special,0.0
2017-07-10,214900.0,69001,58.92,0.0,0.0,0.0,0.0,2,apartment,59.0,2,none,no_special,0.0
2017-07-06,318000.0,69004,0.0,73.58,0.0,0.0,0.0,2,apartment,73.0,3,none,no_special,0.0
2017-07-06,163000.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,38.0,2,none,no_special,0.0
2017-07-06,215044.14,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,67.0,4,none,no_special,0.0
2017-07-07,210000.0,69001,0.0,58.12,0.0,0.0,0.0,2,apartment,54.0,1,none,no_special,0.0
2017-07-07,260200.0,69005,0.0,90.93,0.0,0.0,0.0,2,apartment,94.0,4,none,no_special,0.0
2017-07-10,434600.0,69001,88.71,0.0,0.0,0.0,0.0,1,apartment,87.0,3,none,no_special,0.0
2017-07-12,340250.0,69001,87.19,0.0,0.0,0.0,0.0,2,apartment,89.0,3,none,no_special,0.0
2017-07-07,258200.0,69004,50.39,0.0,0.0,0.0,0.0,2,apartment,65.0,2,none,no_special,0.0
2017-07-11,166823.0,69002,45.46,0.0,0.0,0.0,0.0,2,apartment,45.0,1,none,no_special,0.0
2017-07-06,150000.0,69001,30.94,0.0,0.0,0.0,0.0,2,apartment,42.0,2,none,no_special,0.0
2017-07-18,193000.0,69001,0.0,44.86,0.0,0.0,0.0,2,apartment,43.0,2,none,no_special,0.0
2017-07-07,310000.0,69004,0.0,70.44,0.0,0.0,0.0,2,apartment,70.0,3,none,no_special,0.0
2017-07-07,630650.0,69004,0.0,6.75,0.0,0.0,0.0,2,apartment,72.0,3,none,no_special,0.0
2017-07-07,630650.0,69004,5.46,26.03,35.87,0.0,0.0,3,apartment,61.0,3,none,no_special,0.0
2017-07-06,116000.0,69001,15.01,0.0,0.0,0.0,0.0,1,apartment,23.0,1,none,no_special,0.0
2017-07-06,760600.0,69004,129.12,0.0,0.0,0.0,0.0,1,apartment,131.0,5,none,no_special,0.0
2017-07-06,170000.0,69009,67.64,0.0,0.0,0.0,0.0,1,apartment,65.0,3,none,no_special,0.0
2017-07-05,450000.0,69005,0.0,0.0,0.0,0.0,0.0,0,house,103.0,4,ground,no_special,617.0
2017-07-05,118000.0,69005,0.0,0.0,0.0,0.0,0.0,2,apartment,27.0,2,none,no_special,0.0
2017-07-13,120000.0,69004,22.03,0.0,0.0,0.0,0.0,1,apartment,45.0,2,none,no_special,0.0
2017-07-10,421800.0,69001,108.0,0.0,0.0,0.0,0.0,3,apartment,48.0,2,none,no_special,0.0
2017-07-10,421800.0,69001,0.0,0.0,0.0,0.0,0.0,3,apartment,61.0,3,none,no_special,0.0
2017-07-12,249400.0,69004,0.0,65.36,0.0,0.0,0.0,2,apartment,64.0,3,none,no_special,0.0
2017-07-03,163600.0,69005,0.0,63.5,0.0,0.0,0.0,2,apartment,63.0,3,none,no_special,0.0
2017-07-17,220050.0,69005,73.3,0.0,0.0,0.0,0.0,2,apartment,78.0,3,none,no_special,0.0
2017-07-13,112000.0,69005,0.0,0.0,0.0,0.0,0.0,2,apartment,35.0,1,none,no_special,0.0
2017-07-07,669200.0,69005,143.7,0.0,0.0,0.0,0.0,1,apartment,146.0,6,none,no_special,0.0
2017-07-07,253830.0,69004,0.0,0.0,0.0,0.0,0.0,3,apartment,65.0,2,none,no_special,0.0
2017-07-06,570000.0,69005,139.71,0.0,0.0,0.0,0.0,1,apartment,119.0,5,none,no_special,0.0
2017-07-18,179000.0,69005,0.0,64.1,0.0,0.0,0.0,2,apartment,66.0,3,none,no_special,0.0
2017-07-10,246000.0,69009,65.69,0.0,0.0,0.0,0.0,1,apartment,64.0,3,none,no_special,0.0
2017-07-04,152000.0,69002,33.2,0.0,0.0,0.0,0.0,1,apartment,39.0,2,none,no_special,0.0
2017-07-13,123100.0,69005,43.38,0.0,0.0,0.0,0.0,2,apartment,43.0,2,none,no_special,0.0
