location,n properties,average,25%,median,75%
69000,44497,364408.89,190000.0,364408.89,412000.0
69001,2995,390814.79,200000.0,299000.0,450000.0
69002,2541,467641.71,227500.0,360000.0,586740.0
69003,8719,371264.92,200000.0,289000.0,418210.0
69004,3506,424347.01,235175.0,348200.0,495000.0
69005,4182,350328.76,180212.5,255000.0,393970.0
69006,3653,478033.08,255000.0,398875.0,600000.0
69007,7930,321157.03,187000.0,260000.0,356150.0
69008,6378,298334.32,168000.0,229215.0,325000.0
69009,4593,320190.26,169894.0,230000.0,329000.0
